asset,category,purpose
00_FULL_HOMEPAGE_WIREFRAME_REFERENCE.png,reference,Overall homepage layout and design direction
00_MASTER_ASSET_BOARD.png,reference,Master visual board
00_PHONE_CLEAN_TRANSPARENT.png,phone,Phone body reference with transparent background
01_3d_apartment_reference.png,property,Hero 3D apartment reference
02_phone_with_ui_reference.png,phone,Inspection UI reference
03_evidence_badges_reference.png,evidence,Verification/evidence badge reference
04_living_room.jpg,rooms,Living room evidence photo
05_kitchen.jpg,rooms,Kitchen evidence photo
06_bedroom.jpg,rooms,Bedroom evidence photo
07_bathroom.jpg,rooms,Bathroom evidence photo
08_floorplan_blueprint.png,property,Floorplan/blueprint reference
09_keys_property_handover.png,handover,Keys and property handover
10_plants_property_decor.png,decor,Interior decor references
11_logo_and_trust_elements.png,brand,Logo and trust indicators
12_secondary_phone_home_screen.png,phone,Secondary phone reference
REF_01_HERO_SECTION.png,reference,Hero section
REF_02_PROPERTY_MEMORY.png,reference,Property memory section
REF_03_EVIDENCE_TRAIL.png,reference,Evidence trail section
REF_04_TENANT_LANDLORD.png,reference,Tenant vs landlord section
REF_05_HOW_IT_WORKS.png,reference,How it works section
REF_06_FEATURES.png,reference,Features section
REF_07_REPORT.png,reference,Report section
REF_08_CASE_STORIES.png,reference,Case stories section
REF_09_PRICING.png,reference,Pricing section
REF_10_FINAL_CTA.png,reference,Final CTA section
REF_11_INNER_PAGE_DESIGN_DIRECTION.png,reference,Inner-page visual direction
